City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,oyama,36.3,139.8,15.33,60,100,1.24,JP,1667590576
292,lerwick,60.1545,-1.1494,9.0,82,45,6.98,GB,1667590576
293,alice springs,-23.7,133.8833,10.75,46,0,0.0,AU,1667590577
294,arman,59.7,150.1667,-6.07,81,100,3.61,RU,1667590577
295,wanning,18.8003,110.3967,21.17,93,19,3.63,CN,1667590578
296,camana,-16.6228,-72.7111,19.42,71,7,4.01,PE,1667590578
297,shugurovo,54.5083,52.1326,-1.69,98,100,1.0,RU,1667590578
298,arauco,-37.2463,-73.3175,13.17,77,100,2.68,CL,1667590579
299,nicoya,10.1483,-85.452,24.64,91,100,0.79,CR,1667590580
300,meadow lake,34.8014,-106.5436,8.21,38,97,10.58,US,1667590580
301,cap malheureux,-19.9842,57.6142,22.48,78,95,0.89,MU,1667590581
302,baruun-urt,46.6806,113.2792,-5.55,56,43,2.81,MN,1667590581
303,ixtapa,20.7,-105.2,28.46,57,0,4.63,MX,1667590581
304,panacan,9.2463,118.4082,26.31,82,98,1.99,PH,1667590582
305,santa fe,-31.6333,-60.7,28.89,31,94,3.58,AR,1667590561
306,roald,62.5833,6.1333,10.65,100,75,1.03,NO,1667590583
307,naldurg,17.8167,76.3,20.3,53,0,4.78,IN,1667590584
308,mojo,8.6,39.1167,16.87,58,15,2.37,ET,1667590584
309,soyo,-6.1349,12.3689,25.75,86,93,3.46,AO,1667590585
310,morgan city,29.6994,-91.2068,28.33,78,100,3.09,US,1667590585
311,kruisfontein,-34.0033,24.7314,18.82,93,100,1.83,ZA,1667590586
312,sabana de torres,7.3915,-73.4957,31.34,72,100,1.45,CO,1667590586
313,dhidhdhoo,6.8833,73.1,27.35,69,83,2.2,MV,1667590587
314,ketchikan,55.3422,-131.6461,4.2,92,100,1.82,US,1667590394
315,yashan,22.1975,109.9419,18.74,79,100,2.89,CN,1667590588
316,paragominas,-2.9667,-47.4833,24.5,88,100,1.31,BR,1667590588
317,khlung,12.4547,102.2214,27.78,69,88,1.87,TH,1667590588
318,tsumeb,-19.2333,17.7167,26.2,20,7,3.82,NA,1667590589
319,juba,4.8517,31.5825,23.82,75,66,1.48,SS,1667590589
320,andenes,69.3143,16.1194,5.52,93,0,4.63,NO,1667590589
321,sitka,57.0531,-135.33,3.94,87,75,0.0,US,1667590590
322,ulaanbaatar,47.9077,106.8832,-15.93,85,0,0.0,MN,1667590590
323,olafsvik,64.8945,-23.7142,5.69,74,100,8.05,IS,1667590590
324,mantua,45.1667,10.7833,12.53,83,1,1.34,IT,1667590591
325,maceio,-9.6658,-35.7353,25.69,88,75,4.12,BR,1667590316
326,carlos antonio lopez,-26.4,-54.7667,26.11,40,3,1.2,PY,1667590592
327,coihaique,-45.5752,-72.0662,27.34,21,0,3.09,CL,1667590592
328,inta,66.0317,60.1659,-13.56,94,15,2.53,RU,1667590592
329,shitanjing,39.2342,106.3439,1.58,48,0,2.98,CN,1667590593
330,zagora,30.3484,-5.8365,21.9,19,7,2.5,MA,1667590593
331,gazli,40.1333,63.45,11.25,67,2,2.48,UZ,1667590409
332,nadym,65.5333,72.5167,-11.54,98,88,2.63,RU,1667590594
333,kudahuvadhoo,2.6708,72.8944,26.95,81,98,5.92,MV,1667590594
334,kolosovka,56.4678,73.611,3.58,69,100,8.6,RU,1667590595
335,grand gaube,-20.0064,57.6608,23.22,78,97,0.89,MU,1667590595
336,sroda wielkopolska,52.2284,17.2762,9.56,93,100,2.08,PL,1667590596
337,faanui,-16.4833,-151.75,24.94,84,97,11.69,PF,1667590596
338,nyagan,62.1406,65.3936,-7.63,99,85,1.68,RU,1667590596
339,fairbanks,64.8378,-147.7164,-10.78,86,100,2.06,US,1667590573
340,macamic,48.7502,-78.9996,15.72,71,100,8.41,CA,1667590597
341,ojinaga,29.5667,-104.4167,20.87,29,0,10.29,MX,1667590597
342,burglengenfeld,49.2056,12.0414,8.08,87,40,0.0,DE,1667590597
343,perth,-31.9333,115.8333,13.0,84,0,4.63,AU,1667590200
344,prainha,-1.8,-53.48,29.96,55,100,1.38,BR,1667590598
345,berlevag,70.8578,29.0864,5.0,87,75,3.6,NO,1667590598
346,fakel,57.6325,53.0252,-1.27,92,100,0.84,RU,1667590599
347,nishihara,26.1842,127.7558,22.03,67,75,6.17,JP,1667590599
348,oksovskiy,62.6062,39.8984,-6.54,98,31,0.89,RU,1667590600
349,haines junction,60.7522,-137.5108,-10.03,62,100,6.17,CA,1667590600
350,turkistan,43.0,68.0,8.27,63,90,6.16,KZ,1667590600
351,panino,51.6467,40.1346,0.38,93,100,1.56,RU,1667590601
352,conakry,9.538,-13.6773,28.44,75,100,3.49,GN,1667590601
353,sioux lookout,50.1001,-91.917,0.04,69,75,3.6,CA,1667590601
354,ancud,-41.8697,-73.8203,13.87,80,100,3.86,CL,1667590435
355,rusera,25.75,86.0333,21.67,59,0,1.36,IN,1667590602
356,pak phanang,8.3511,100.202,24.62,91,100,0.35,TH,1667590602
357,salisbury,51.0693,-1.7957,8.76,87,100,4.12,GB,1667590541
358,porto novo,6.4965,2.6036,26.9,83,100,2.84,BJ,1667590603
359,bubaque,11.2833,-15.8333,29.61,56,100,2.13,GW,1667590604
360,ucluelet,48.9329,-125.5528,12.27,94,100,0.89,CA,1667590604
361,kaduqli,11.0167,29.7167,25.19,31,3,3.11,SD,1667590604
362,beaverlodge,55.2166,-119.4361,2.64,59,84,2.13,CA,1667590605
